#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,xinit,"starts the graphical server."
V,xdg-utils,"are filetype utilities."
V,libX11-devel,"is required for the compilation of some programs."
V,libXft-devel,"is required for the compilation of some programs."
V,gcr-devel,"is required for the compilation of some programs."
V,fontconfig-devel,"is required for the compilation of some programs."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,compton,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
V,xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
V,dbus,"facilitates inter-process communication."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
V,font-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
V,xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
V,simple-mtpfs,"enables the mounting of cell phones."
V,setxkbmap,"allows LARBS's unique keyboard bindings."
V,xmodmap,"allows LARBS's unique keyboard bindings."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
G,https://github.com/bsodloverlinuxsetup/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/bsodloverlinuxsetup/st.git,"terminal"
G,https://github.com/bsodloverlinuxsetup/mutt-wizard,"mutt wizard"
A,mbsync,"Sync mutt mail"
,pass,"password manager for mutt"
,slock,"allows you to lock your computer, and quickly unlock with your password."
G,https://github.com/bsodloverlinuxsetup/dwm.git,"is the main graphical user interface and window manager."
,sxhkd,"binds key."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,docx2txt,"enables .docx file previews in vifm."
A,redshift-gtk-git,"is for night light"
,odt2txt,"enables .odt file previews in vifm."
,openvpn,"OpenVpn service"
,xarchiver,"gui archiver"
,lightdm,"light display manager"
,lightdm-gtk-greeter,"greeter for login"
,os-prober,"find os grub"
,ranger,"file manager"
,nextcloud-client,"nextcloud client sync"
,pulseaudio-equalizer,"Pulseaudio eq"
,pulseaudio-equalizer-ladspa,"GUI for eq"
,libreoffice," office siute"
,cronie,"cron"
A,ttf-ms-fonts,"msfonts"
A,ttf-vista-fonts,"vista fonts"
,transmission-cli,"torrent"
,perl-image-exiftool,"image perl"
A,transmission-remote-cli-git,"trans"
A,sftpman-gtk,"sftpman gtk for mounting "
A,redshift-gtk,"flux"
,vlc,"media player"
A,spotify-tui,"cli for spotify"
A,spotifyd-full-git,"daemon for spotify"
A,python-pywal,"wal color"
,alacritty,"Alternative terminal"
,playerctl,"playerctl"
,wmctrl,"wmctrl"
,ttf-roboto-mono,"mainfont"
,ttf-roboto,"mainfont2"
,xsel,"zsel"
,clipnotify,"clipn"
G,https://github.com/cdown/clipmenu.git,"dmenu clipboard"
,wkhtmltopdf,"pandoc tool"
A,md2pdf,"markdown 2 pdf"
,pandoc,"pandoc"
